,VAR_RMSE,RF_RMSE,XGB_RMSE,best_model,hybrid_model,hybrid_rmse
Bangladesh,1.1054,1.3547,2.1306,VAR,VAR,1.1054
China,4.7034,2.91,2.8524,XGB,XGB,2.8524
India,1.832,2.5328,2.7192,VAR,VAR,1.832
Indonesia,2.7399,0.1815,0.2254,RF,RF,0.1815
Japan,0.5818,0.8093,1.3474,VAR,VAR,0.5818
Malaysia,1.9507,2.3674,2.1203,VAR,VAR,1.9507
Pakistan,3.783,2.5055,2.4094,XGB,XGB,2.4094
Philippines,1.3258,1.3148,1.4888,RF,RF,1.3148
Singapore,3.4142,1.347,1.3721,RF,RF,1.347
South Korea,2.6547,2.0161,1.4971,XGB,XGB,1.4971
Thailand,1.5267,1.4108,1.0812,XGB,XGB,1.0812
Vietnam,1.4405,1.6922,1.8733,VAR,VAR,1.4405
