feature,importance
debt_gdp,0.0946521311593967
remittance_pct_gdp,0.08411722072646054
trade_exposure,0.08067359424096876
fertilizer_shock,0.07650586146514925
energy_imports_pct,0.06613805307801433
reserve_days,0.0641667330518106
oil_shock_signal_lag1,0.06031730873169506
unemployment,0.05909347305254529
oil_shock_signal,0.05862962295474549
baltic_dry_index,0.04699204418379868
oil_x_buffer,0.04696247810917899
country_China,0.044721555675427016
inflation_lag1,0.043275725658992605
gpr_normalised_lag1,0.03820922328488021
gpr_normalised,0.03760310309856274
country_encoded,0.03319407555908536
country_Japan,0.02430377632526353
conflict_dummy,0.00845252671206974
country_Indonesia,0.005233390759181503
country_Vietnam,0.004040643673222297
country_Thailand,0.003961314804711012
country_Pakistan,0.0031759925878651887
country_South Korea,0.0031718794879646195
country_Philippines,0.003055577193234675
country_India,0.002324509027239401
country_Singapore,0.001959113242543153
hormuz_disruption,0.0017868964217586782
hormuz_disruption_lag1,0.0014958257357006676
country_Malaysia,0.00121547725544409
country_Bangladesh,0.000570872743089889
