feature,mean_shap
trade_exposure,0.6994868
debt_gdp,0.6686724
oil_shock_signal_lag1,0.626484
remittance_pct_gdp,0.28022078
oil_shock_signal,0.25917327
unemployment,0.25450864
reserve_days,0.20768517
country_China,0.18406121
energy_imports_pct,0.17941108
baltic_dry_index,0.16347973
conflict_dummy,0.1552428
gpr_normalised_lag1,0.15377016
fertilizer_shock,0.11212174
inflation_lag1,0.10768354
oil_x_buffer,0.089870065
gpr_normalised,0.055485133
country_Pakistan,0.050476238
country_Indonesia,0.031060712
country_Vietnam,0.022760728
country_South Korea,0.0066452604
hormuz_disruption,0.002465739
country_India,0.0
country_Bangladesh,0.0
hormuz_disruption_lag1,0.0
country_Japan,0.0
country_Philippines,0.0
country_Malaysia,0.0
country_Singapore,0.0
country_Thailand,0.0
