,n_stationary,n_total,avg_pvalue,overall
oil_shock_signal,6,6,0.022,✓ stationary (all countries)
oil_x_buffer,5,6,0.072,⚠ mixed (5/6 stationary)
hormuz_disruption,6,6,0.003,✓ stationary (all countries)
gpr_normalised,6,6,0.049,✓ stationary (all countries)
conflict_dummy,0,6,0.977,✗ non-stationary (0/6 stationary)
baltic_dry_index,0,6,0.199,✗ non-stationary (0/6 stationary)
unemployment,0,6,0.379,✗ non-stationary (0/6 stationary)
debt_gdp,1,6,0.523,✗ non-stationary (1/6 stationary)
remittance_pct_gdp,0,5,0.722,✗ non-stationary (0/5 stationary)
energy_imports_pct,0,6,0.61,✗ non-stationary (0/6 stationary)
fertilizer_shock,0,5,0.957,✗ non-stationary (0/5 stationary)
reserve_days,0,6,0.61,✗ non-stationary (0/6 stationary)
oil_shock_signal_lag1,0,6,0.07,✗ non-stationary (0/6 stationary)
gpr_normalised_lag1,0,6,0.055,✗ non-stationary (0/6 stationary)
inflation_lag1,5,6,0.154,⚠ mixed (5/6 stationary)
hormuz_disruption_lag1,6,6,0.014,✓ stationary (all countries)
