n_estimators,max_depth,min_samples_split,min_samples_leaf,val_rmse
200,,5,1,1.6566
200,7.0,2,1,1.6661
200,5.0,2,1,1.6736
200,,2,1,1.6821
200,7.0,5,1,1.6942
200,5.0,5,1,1.7084
100,,2,1,1.7265
200,5.0,10,1,1.7286
100,,5,1,1.7321
200,,10,1,1.7329
200,7.0,10,1,1.7352
100,7.0,5,1,1.7369
300,,5,1,1.7442
300,7.0,2,1,1.7629
300,5.0,2,1,1.7641
300,7.0,5,1,1.7642
200,7.0,2,2,1.768
100,5.0,2,1,1.7728
300,,2,1,1.7747
300,5.0,5,1,1.7777
200,5.0,10,2,1.7842
200,7.0,5,2,1.7851
100,7.0,2,1,1.7884
200,5.0,2,2,1.7904
200,5.0,5,2,1.7926
200,,5,2,1.7984
300,5.0,10,1,1.7988
100,5.0,5,1,1.8011
300,7.0,10,1,1.8012
200,7.0,10,2,1.8096
300,,10,1,1.8118
200,,10,2,1.8157
100,7.0,2,2,1.8275
200,,2,2,1.8402
100,,10,1,1.8418
200,5.0,5,4,1.8461
200,5.0,2,4,1.8461
200,3.0,2,1,1.847
100,5.0,10,1,1.8497
100,7.0,10,1,1.8502
100,,5,2,1.8573
300,5.0,10,2,1.8587
300,7.0,2,2,1.8617
200,3.0,5,1,1.8623
100,7.0,5,2,1.8653
300,7.0,5,2,1.8657
200,7.0,2,4,1.8687
200,7.0,5,4,1.8687
300,5.0,2,2,1.8688
300,5.0,5,2,1.8692
200,5.0,10,4,1.8692
200,,2,4,1.8753
200,,5,4,1.8753
100,5.0,2,2,1.8754
100,5.0,5,2,1.8818
200,3.0,10,1,1.8826
300,,5,2,1.8832
300,7.0,10,2,1.884
200,,10,4,1.8855
100,5.0,10,2,1.8902
300,,10,2,1.8905
100,3.0,2,1,1.8915
200,7.0,10,4,1.8916
100,,2,2,1.9003
100,,10,2,1.904
100,7.0,10,2,1.9056
300,3.0,2,1,1.9059
300,,2,2,1.9095
100,3.0,5,1,1.9108
100,5.0,5,4,1.9112
100,5.0,2,4,1.9112
300,3.0,5,1,1.9113
100,7.0,5,4,1.9121
100,7.0,2,4,1.9121
100,,2,4,1.9145
100,,5,4,1.9145
300,5.0,2,4,1.9157
300,5.0,5,4,1.9157
200,3.0,5,4,1.937
200,3.0,2,4,1.937
300,3.0,10,1,1.9373
300,5.0,10,4,1.9403
300,7.0,2,4,1.9415
300,7.0,5,4,1.9415
200,3.0,5,2,1.9454
200,3.0,2,2,1.9497
200,3.0,10,4,1.9503
100,3.0,10,1,1.9516
300,,5,4,1.9528
300,,2,4,1.9528
100,3.0,5,4,1.9538
100,3.0,2,4,1.9538
100,5.0,10,4,1.9543
200,3.0,10,2,1.9574
100,,10,4,1.9597
100,7.0,10,4,1.9623
300,7.0,10,4,1.97
300,,10,4,1.9716
100,3.0,10,4,1.9816
300,3.0,2,2,1.9818
300,3.0,5,2,1.9821
100,3.0,2,2,1.9845
100,3.0,5,2,1.9884
300,3.0,10,2,1.992
300,3.0,5,4,1.9932
300,3.0,2,4,1.9932
300,3.0,10,4,2.0095
100,3.0,10,2,2.0235
