oil_shock_signal,oil_x_buffer,hormuz_disruption,gpr_normalised,conflict_dummy,baltic_dry_index,unemployment,debt_gdp,remittance_pct_gdp,energy_imports_pct,fertilizer_shock,reserve_days,country_encoded,oil_shock_signal_lag1,gpr_normalised_lag1,inflation_lag1,hormuz_disruption_lag1
0.06596188,0.37390837,0.063865274,0.117815144,0.0,-0.05242383,0.30713353,0.23309734,-0.1219082,-0.04880022,0.11486884,0.7904565,0.087443806,-0.21794318,-0.061682165,-0.08283075,0.05392623
-0.06032703,-0.33107695,0.07717245,0.04693646,0.0,-0.06602528,-0.19480251,0.21091382,-0.23000263,-0.04934948,0.11136151,0.874846,0.06455371,-0.21460195,0.3478822,0.33765143,-0.00066250295
-0.05317131,-0.05066543,-0.01182076,0.06305446,0.0,-0.14183207,-0.20375948,0.22469048,-0.22761686,-0.06894425,0.11080965,0.86342347,0.061780266,-0.25328532,0.3455538,-0.25378686,-0.019162733
0.07985957,0.39927977,0.08543025,0.13027473,0.0,-0.099800274,0.3061057,-0.43184093,0.05841789,-0.07668255,0.0877277,0.63551736,0.087443806,-0.26488867,-0.118084215,-0.16406657,0.099267505
-0.06902087,-0.034877457,0.08394424,0.07974016,0.0,-0.11563766,0.26044083,-0.38676673,0.0811578,-0.044236857,0.08440705,0.662109,0.067053385,-0.28839886,0.38362998,-0.05311603,-0.08904683
-0.062390763,-0.024545014,0.004173989,0.07726077,0.0,-0.102551,0.25388303,-0.41052306,-0.08033611,-0.06484038,0.083272435,0.6506865,0.06504708,-0.33593544,0.35760257,-0.110892,-0.09665211
0.11493635,-0.18472996,0.0732388,0.06200093,0.0,-0.071703255,-0.018954521,-2.004912,-0.028433247,0.121123515,0.088538125,-2.1141636,-0.057840116,-0.25419006,-0.0285768,0.5953925,0.21232957
-0.050620966,-0.06976199,0.072259665,0.10908054,0.0,-0.13123825,0.03773742,-1.8410189,-0.0017943389,0.0063956697,0.093335636,-2.1830974,-0.06423238,-0.2384859,0.19757283,-0.08729283,-0.029470827
-0.04443397,-0.14177956,0.01825337,0.106601134,0.0,-0.10704346,0.025502926,-1.7993122,-0.0015675693,-0.014492785,0.0925971,-2.1464355,-0.06623869,-0.21973518,0.23626111,-0.15140393,-0.031516533
0.11819172,0.46567008,0.06380573,0.11625309,0.0,-0.17865872,0.36001518,-0.47448525,-0.22052644,-0.06963076,0.0758579,0.63551736,-0.16281709,-0.3251901,-0.08710028,-0.3619735,0.12474529
-0.10546015,-0.032754235,0.062051807,0.07296893,0.0,-0.18588081,0.2577584,-0.46638516,-0.2653729,-0.04362829,0.07253724,0.662109,-0.14644223,-0.31397596,0.3878417,-0.44906813,-0.09404538
-0.07303517,-0.03465297,-0.0023438733,0.070489526,0.0,-0.13778277,0.2769198,0.22031409,-0.2676579,-0.061619703,0.07163473,0.6506865,-0.14844856,-0.3733219,0.3665219,-0.40601888,-0.1165347
0.11082883,0.44546476,0.106217906,0.046856936,0.0,-0.03942235,-0.2125755,-1.518038,0.16185209,0.41223586,0.04532445,0.5246006,-0.025833383,-0.50067776,0.019857807,3.987702e-05,0.29238665
-0.31495634,-0.07494282,0.10161316,0.31930667,0.0,-0.053471066,-0.09422165,-1.9447991,0.12484779,1.9358175,0.047529142,0.54044557,0.020840287,-0.4777142,0.36730674,-0.0437571,-0.0635278
0.41579396,-0.032794483,0.023721281,0.338025,0.0,-0.04281746,0.1459021,-1.9325863,0.20265372,2.4238021,0.0467906,0.5856867,0.038706634,-0.4751229,0.36662075,-0.09273313,-0.06405596
0.070670344,-0.003963512,0.06397784,0.05519008,0.0,-0.049870785,-0.056201816,0.5294114,-0.02372713,-0.09160307,0.08791998,-1.79262,0.008936666,-0.41114482,-0.1317697,-0.027594695,0.043098196
-0.02256222,0.0032946453,0.06915021,0.10288783,0.0,-0.07939786,-0.033331364,0.74329674,-0.010102,-0.05234518,0.093335636,-1.8826289,0.02531153,-0.4106872,0.29928482,-0.06679944,-0.07247315
-0.022684593,0.0057281,0.024765648,0.10040843,0.0,-0.05520303,-0.048293494,0.7369509,-0.0098752305,-0.07249187,0.0925971,-1.8472269,0.029324137,-0.4475371,0.29988617,-0.082484566,-0.089378014
