Year,Chokepoint_Name,Oil_Flow_Million_Barrels_Day,Major_Importers,Strategic_Risk_Level,Global_Trade_Share,Number_of_Ships_Per_Day,LNG_Transport_Share,Piracy_Risk_Index,Sanctions_Impact,Strategic_Importance_Score
2000,Strait of Hormuz,21.75,China; India; Japan,High,20.23,84,29.8,4.65,High,93
2001,Strait of Hormuz,22.22,China; India; Japan,High,19.85,89,30.05,2.48,High,95
2002,Strait of Hormuz,21.54,China; India; Japan,High,20.86,86,31.95,0,High,98
2003,Strait of Hormuz,20.98,China; India; Japan,High,20.39,92,29.98,1.11,High,94
2004,Strait of Hormuz,21.46,China; India; Japan,High,20.05,88,29.14,1.64,High,92
2005,Strait of Hormuz,20.52,China; India; Japan,High,19.97,85,27.99,1.36,High,94
2006,Strait of Hormuz,20.25,China; India; Japan,High,18.93,81,30,1.51,High,95
2007,Strait of Hormuz,20.97,China; India; Japan,High,18.72,86,28.85,1.37,High,95
2008,Strait of Hormuz,20.69,China; India; Japan,High,20.47,87,30.87,0.68,High,94
2009,Strait of Hormuz,21.37,China; India; Japan,High,17.49,97,31.09,1.39,High,97
2010,Strait of Hormuz,20.93,China; India; Japan,High,18.24,85,31.77,2.84,High,94
2011,Strait of Hormuz,21.81,China; India; Japan,High,20.36,91,30.66,1.72,High,96
2012,Strait of Hormuz,21.12,China; India; Japan,High,20.14,98,28.6,0.78,High,97
2013,Strait of Hormuz,21.09,China; India; Japan,High,18.73,93,28.26,2.68,High,98
2014,Strait of Hormuz,20.93,China; India; Japan,High,22.38,87,30.82,1.95,High,98
2015,Strait of Hormuz,21.27,China; India; Japan,High,20.76,87,30.06,3.22,High,97
2016,Strait of Hormuz,21.06,China; India; Japan,High,20.54,84,28.29,2.38,High,96
2017,Strait of Hormuz,20.44,China; India; Japan,High,18.05,79,29.22,3.14,High,93
2018,Strait of Hormuz,21.15,China; India; Japan,High,18.81,87,30.55,3.3,High,92
2019,Strait of Hormuz,21,China; India; Japan,High,20.25,86,29.64,0,High,93
2020,Strait of Hormuz,21.05,China; India; Japan,High,21.65,86,28.67,2.37,High,90
2021,Strait of Hormuz,22.06,China; India; Japan,High,19.79,82,30.33,1.24,High,98
2022,Strait of Hormuz,20.5,China; India; Japan,High,20.34,95,29.34,1.09,High,91
2023,Strait of Hormuz,20.54,China; India; Japan,High,20.45,83,30.11,2.23,High,91
2024,Strait of Hormuz,20.59,China; India; Japan,High,20.32,87,29.98,0.48,High,92
2025,Strait of Hormuz,21.58,China; India; Japan,High,21.3,88,30.74,0,Medium,100
2026,Strait of Hormuz,16.47,China; India; Japan,High,16.26,66,30.68,1.77,High,100
2027,Strait of Hormuz,18.34,China; India; Japan,High,18.1,70,31.56,1.48,High,100
2028,Strait of Hormuz,15.59,China; India; Japan,High,15.38,66,30.25,3.43,High,100
2029,Strait of Hormuz,20.09,China; India; Japan,High,19.83,95,31.16,0.51,Medium,99
2030,Strait of Hormuz,19.62,China; India; Japan,High,19.37,88,31.31,1.36,Medium,100
2031,Strait of Hormuz,19.83,China; India; Japan,High,19.57,91,31.26,0.85,Medium,95
2032,Strait of Hormuz,20.57,China; India; Japan,High,20.3,95,32.09,0,Medium,96
2033,Strait of Hormuz,20.96,China; India; Japan,High,20.68,87,32.72,0,Medium,98
2034,Strait of Hormuz,21.02,China; India; Japan,High,20.74,89,32.9,0.52,Medium,97
2035,Strait of Hormuz,20.27,China; India; Japan,High,20,94,31.89,1.14,Medium,94
2036,Strait of Hormuz,20,China; India; Japan,High,19.74,96,32.23,0,Medium,97
